"binary","filename","configuration","rate","time"
"old","http/bench-parser.js","n=100000 len=8",472027.06708936754,0.211852258
"new","http/bench-parser.js","n=100000 len=8",474786.0364856926,0.210621190
"old","http/bench-parser.js","n=100000 len=8",469486.4356894499,0.212998699
"new","http/bench-parser.js","n=100000 len=8",477565.5260614217,0.209395349
"old","http/bench-parser.js","n=100000 len=8",467580.23771564197,0.213867037
"new","http/bench-parser.js","n=100000 len=8",482278.18879480934,0.207349207
"old","http/bench-parser.js","n=100000 len=8",465107.4658241127,0.215004074
"new","http/bench-parser.js","n=100000 len=8",477337.38153619866,0.209495430
"old","http/bench-parser.js","n=100000 len=8",459818.31870107906,0.217477199
"new","http/bench-parser.js","n=100000 len=8",485242.3345831688,0.206082596
"old","http/bench-parser.js","n=100000 len=8",462615.33110075485,0.216162313
"new","http/bench-parser.js","n=100000 len=8",482120.21040690225,0.207417150
"old","http/bench-parser.js","n=100000 len=8",470677.00165420375,0.212459924
"new","http/bench-parser.js","n=100000 len=8",492641.5316753331,0.202987352
"old","http/bench-parser.js","n=100000 len=8",465519.9194833023,0.214813579
"new","http/bench-parser.js","n=100000 len=8",470838.2892006011,0.212387145
"old","http/bench-parser.js","n=100000 len=8",469026.39945576055,0.213207615
"new","http/bench-parser.js","n=100000 len=8",478606.2343209794,0.208940028
"old","http/bench-parser.js","n=100000 len=8",472620.5861059577,0.211586213
"new","http/bench-parser.js","n=100000 len=8",477807.00878951314,0.209289521
"old","http/bench-parser.js","n=100000 len=8",468503.83198185754,0.213445426
"new","http/bench-parser.js","n=100000 len=8",468573.9560325718,0.213413483
"old","http/bench-parser.js","n=100000 len=8",472422.02865747927,0.211675142
"new","http/bench-parser.js","n=100000 len=8",480718.62820017093,0.208021895
"old","http/bench-parser.js","n=100000 len=8",470970.81652412977,0.212327381
"new","http/bench-parser.js","n=100000 len=8",476548.949926295,0.209842032
"old","http/bench-parser.js","n=100000 len=8",471625.7831646791,0.212032513
"new","http/bench-parser.js","n=100000 len=8",489943.02045962366,0.204105367
"old","http/bench-parser.js","n=100000 len=8",468733.4053726579,0.213340886
"new","http/bench-parser.js","n=100000 len=8",468481.5212921736,0.213455591
"old","http/bench-parser.js","n=100000 len=8",469130.50662280683,0.213160301
"new","http/bench-parser.js","n=100000 len=8",468501.0136722182,0.213446710
"old","http/bench-parser.js","n=100000 len=8",462576.8997089614,0.216180272
"new","http/bench-parser.js","n=100000 len=8",477352.1786372527,0.209488936
"old","http/bench-parser.js","n=100000 len=8",465732.2110019156,0.214715662
"new","http/bench-parser.js","n=100000 len=8",482255.9028351579,0.207358789
"old","http/bench-parser.js","n=100000 len=8",472508.0209299696,0.211636619
"new","http/bench-parser.js","n=100000 len=8",486758.6011206166,0.205440643
"old","http/bench-parser.js","n=100000 len=8",465560.03140314145,0.214795071
"new","http/bench-parser.js","n=100000 len=8",473964.81865319255,0.210986124
"old","http/bench-parser.js","n=100000 len=8",467586.7311547947,0.213864067
"new","http/bench-parser.js","n=100000 len=8",468801.7608419162,0.213309779
"old","http/bench-parser.js","n=100000 len=8",461444.15584137524,0.216710947
"new","http/bench-parser.js","n=100000 len=8",476293.4417603288,0.209954602
"old","http/bench-parser.js","n=100000 len=8",470475.58240666345,0.212550882
"new","http/bench-parser.js","n=100000 len=8",476977.4867723292,0.209653501
"old","http/bench-parser.js","n=100000 len=8",467322.9104715713,0.213984801
"new","http/bench-parser.js","n=100000 len=8",481820.05018493097,0.207546365
"old","http/bench-parser.js","n=100000 len=8",470010.7060448655,0.212761111
"new","http/bench-parser.js","n=100000 len=8",471198.5205308852,0.212224775
"old","http/bench-parser.js","n=100000 len=8",474190.6561300238,0.210885640
"new","http/bench-parser.js","n=100000 len=8",476670.1470896346,0.209788678
"old","http/bench-parser.js","n=100000 len=8",470567.0320972596,0.212509575
"new","http/bench-parser.js","n=100000 len=8",483029.94327252876,0.207026503
"old","http/bench-parser.js","n=100000 len=8",458355.41307750694,0.218171308
"new","http/bench-parser.js","n=100000 len=8",478650.7272528206,0.208920606
"old","http/bench-parser.js","n=100000 len=8",465810.87241052184,0.214679403
"new","http/bench-parser.js","n=100000 len=8",479246.79962701374,0.208660757
"old","http/bench-parser.js","n=100000 len=8",464018.85505352076,0.215508484
"new","http/bench-parser.js","n=100000 len=8",479404.1849732148,0.208592255
"old","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='bytes' benchmarker='test-double-http'",55675,10.032306429
"old","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='buffer' benchmarker='test-double-http'",54396,10.033153454
"new","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='bytes' benchmarker='test-double-http'",58939,10.032568355
"new","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='buffer' benchmarker='test-double-http'",60049,10.032679301
"old","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='bytes' benchmarker='test-double-http'",50445,10.032815312
"old","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='buffer' benchmarker='test-double-http'",55788,10.032486792
"new","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='bytes' benchmarker='test-double-http'",60374,10.032426884
"new","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='buffer' benchmarker='test-double-http'",60745,10.033188704
"old","http/simple.js","duration=10 chunkedEnc=0 c=100 chunks=4 len=1024 type='bytes' benchmarker='test-double-http'",54057,10.033191958
