"binary","filename","configuration","rate","time"
"old","module/module-require.js","n=10000 type='.js'",11477.350114088418,0.871281254
"old","module/module-require.js","n=10000 type='.json'",24299.33818176732,0.411533842
"old","module/module-require.js","n=10000 type='dir'",9700.595589116487,1.030864539
"new","module/module-require.js","n=10000 type='.js'",13254.446666383066,0.754463785
"new","module/module-require.js","n=10000 type='.json'",25383.99750101652,0.393948983
"new","module/module-require.js","n=10000 type='dir'",10282.606731540167,0.972516042
"old","module/module-require.js","n=10000 type='.js'",12605.35994728862,0.793313324
"old","module/module-require.js","n=10000 type='.json'",24033.057046986327,0.416093549
"old","module/module-require.js","n=10000 type='dir'",10371.709551678738,0.964161207
"new","module/module-require.js","n=10000 type='.js'",12926.602591488318,0.773598471
"new","module/module-require.js","n=10000 type='.json'",25453.80993199773,0.392868495
"new","module/module-require.js","n=10000 type='dir'",10251.331820225822,0.975483008
"old","module/module-require.js","n=10000 type='.js'",12516.3607609687,0.798954280
"old","module/module-require.js","n=10000 type='.json'",23192.309741794266,0.431177408
"old","module/module-require.js","n=10000 type='dir'",10401.660635105989,0.961384951
"new","module/module-require.js","n=10000 type='.js'",13167.956354966676,0.759419285
"new","module/module-require.js","n=10000 type='.json'",26109.111737706004,0.383008051
"new","module/module-require.js","n=10000 type='dir'",10207.013149321463,0.979718538
"old","module/module-require.js","n=10000 type='.js'",12584.853532251878,0.794605990
"old","module/module-require.js","n=10000 type='.json'",23564.852471121772,0.424360815
"old","module/module-require.js","n=10000 type='dir'",10339.682175292444,0.967147716
"new","module/module-require.js","n=10000 type='.js'",13181.109914648583,0.758661453
"new","module/module-require.js","n=10000 type='.json'",25988.91053187605,0.384779500
"new","module/module-require.js","n=10000 type='dir'",10431.37386067283,0.958646496
"old","module/module-require.js","n=10000 type='.js'",12753.48560158513,0.784099368
"old","module/module-require.js","n=10000 type='.json'",23821.570945131025,0.419787596
"old","module/module-require.js","n=10000 type='dir'",10366.457829605119,0.964649658
"new","module/module-require.js","n=10000 type='.js'",13148.196229397365,0.760560599
"new","module/module-require.js","n=10000 type='.json'",25599.02073301296,0.390639943
"new","module/module-require.js","n=10000 type='dir'",10241.685475325743,0.976401787
"old","module/module-require.js","n=10000 type='.js'",12677.089431541563,0.788824600
"old","module/module-require.js","n=10000 type='.json'",23997.6412046526,0.416707622
