"binary","filename","configuration","rate","time"
"old","streams/creation.js","kind='duplex' n=50000000",3496142.983773945,14.301474577
"old","streams/creation.js","kind='readable' n=50000000",8581208.99800944,5.826684796
"old","streams/creation.js","kind='transform' n=50000000",3537370.5922663864,14.134792693
"old","streams/creation.js","kind='writable' n=50000000",8080454.356061919,6.187770860
"new","streams/creation.js","kind='duplex' n=50000000",4179689.1734071337,11.962612033
"new","streams/creation.js","kind='readable' n=50000000",9291215.337968607,5.381427314
"new","streams/creation.js","kind='transform' n=50000000",3839720.5075674905,13.021781117
"new","streams/creation.js","kind='writable' n=50000000",8701203.08750706,5.746331800
"old","streams/creation.js","kind='duplex' n=50000000",4065941.0398272015,12.297276205
"old","streams/creation.js","kind='readable' n=50000000",8426504.539568827,5.933658466
"old","streams/creation.js","kind='transform' n=50000000",4622503.177685957,10.816650217
"old","streams/creation.js","kind='writable' n=50000000",8266059.773043073,6.048831169
"new","streams/creation.js","kind='duplex' n=50000000",4025909.9126894246,12.419552619
"new","streams/creation.js","kind='readable' n=50000000",9071790.58913745,5.511591070
"new","streams/creation.js","kind='transform' n=50000000",3507219.2607224984,14.256308569
"new","streams/creation.js","kind='writable' n=50000000",8487993.056225484,5.890673999
"old","streams/creation.js","kind='duplex' n=50000000",3414860.0236736466,14.641888585
"old","streams/creation.js","kind='readable' n=50000000",8678767.434144951,5.761186756
"old","streams/creation.js","kind='transform' n=50000000",4446682.787562539,11.244337046
"old","streams/creation.js","kind='writable' n=50000000",8001983.826223849,6.248450520
"new","streams/creation.js","kind='duplex' n=50000000",4728016.935569056,10.575258228
"new","streams/creation.js","kind='readable' n=50000000",8926916.07545353,5.601038430
"new","streams/creation.js","kind='transform' n=50000000",4254920.033453703,11.751102161
"new","streams/creation.js","kind='writable' n=50000000",8263195.050045517,6.050928206
"old","streams/creation.js","kind='duplex' n=50000000",4073249.629672425,12.275211329
"old","streams/creation.js","kind='readable' n=50000000",8592335.93322995,5.819139334
"old","streams/creation.js","kind='transform' n=50000000",3564933.7190133217,14.025506206
"old","streams/creation.js","kind='writable' n=50000000",8006659.2717471225,6.244801771
"new","streams/creation.js","kind='duplex' n=50000000",3990735.9292390216,12.529017426
"new","streams/creation.js","kind='readable' n=50000000",9104335.612188473,5.491888934
"new","streams/creation.js","kind='transform' n=50000000",3488642.7354361727,14.332221380
"new","streams/creation.js","kind='writable' n=50000000",8333108.501899398,6.000161883
"old","streams/creation.js","kind='duplex' n=50000000",3338720.619918944,14.975796328
"old","streams/creation.js","kind='readable' n=50000000",8628094.617708694,5.795022217
"old","streams/creation.js","kind='transform' n=50000000",4518495.149939348,11.065630999
"old","streams/creation.js","kind='writable' n=50000000",8142897.323495412,6.140320578
"new","streams/creation.js","kind='duplex' n=50000000",4085905.169691826,12.237190518
"new","streams/creation.js","kind='readable' n=50000000",8693266.628159843,5.751577875
"new","streams/creation.js","kind='transform' n=50000000",3453423.208891522,14.478387668
"new","streams/creation.js","kind='writable' n=50000000",8616931.31372443,5.802529715
"old","streams/creation.js","kind='duplex' n=50000000",3468220.083625942,14.416616822
"old","streams/creation.js","kind='readable' n=50000000",8399147.411818884,5.952985172
"old","streams/creation.js","kind='transform' n=50000000",3590570.4616628108,13.925363820
"old","streams/creation.js","kind='writable' n=50000000",8159592.792636451,6.127756773
"new","streams/creation.js","kind='duplex' n=50000000",4040484.0537424395,12.374754939
"new","streams/creation.js","kind='readable' n=50000000",9074245.043370094,5.510100263
"new","streams/creation.js","kind='transform' n=50000000",4214549.909500034,11.863663042
"new","streams/creation.js","kind='writable' n=50000000",8514935.147202166,5.872035328
"old","streams/creation.js","kind='duplex' n=50000000",3801721.720980551,13.151935799
"old","streams/creation.js","kind='readable' n=50000000",8642363.177687999,5.785454623
"old","streams/creation.js","kind='transform' n=50000000",3582031.1697927252,13.958560836
"old","streams/creation.js","kind='writable' n=50000000",8152396.497836445,6.133165875
"new","streams/creation.js","kind='duplex' n=50000000",4037015.6998899486,12.385386562
"new","streams/creation.js","kind='readable' n=50000000",8917426.906143429,5.606998580
"new","streams/creation.js","kind='transform' n=50000000",3485317.120651897,14.345896878
"new","streams/creation.js","kind='writable' n=50000000",8427781.956072614,5.932759089
"old","streams/creation.js","kind='duplex' n=50000000",3417554.1173493094,14.630346231
"old","streams/creation.js","kind='readable' n=50000000",8484663.954206144,5.892985305
"old","streams/creation.js","kind='transform' n=50000000",3611086.3838560507,13.846248659
"old","streams/creation.js","kind='writable' n=50000000",8019654.183529594,6.234682800
"new","streams/creation.js","kind='duplex' n=50000000",3872756.9303519516,12.910699251
"new","streams/creation.js","kind='readable' n=50000000",8626334.916141225,5.796204354
"new","streams/creation.js","kind='transform' n=50000000",3506099.49123303,14.260861714
"new","streams/creation.js","kind='writable' n=50000000",8570722.725885315,5.833813740
"old","streams/creation.js","kind='duplex' n=50000000",3508733.1650943267,14.250157435
"old","streams/creation.js","kind='readable' n=50000000",8657596.946173277,5.775274630
"old","streams/creation.js","kind='transform' n=50000000",4327544.959447937,11.553894984
"old","streams/creation.js","kind='writable' n=50000000",8012248.628302554,6.240445388
"new","streams/creation.js","kind='duplex' n=50000000",4584198.1074664015,10.907032992
"new","streams/creation.js","kind='readable' n=50000000",9159049.95126832,5.459081484
"new","streams/creation.js","kind='transform' n=50000000",3503350.4365119603,14.272052113
"new","streams/creation.js","kind='writable' n=50000000",8275146.557562368,6.042189060
"old","streams/creation.js","kind='duplex' n=50000000",4049921.610474643,12.345917973
"old","streams/creation.js","kind='readable' n=50000000",8588488.981511429,5.821745840
"old","streams/creation.js","kind='transform' n=50000000",4357806.212346524,11.473663023
"old","streams/creation.js","kind='writable' n=50000000",8158496.423205191,6.128580244
"new","streams/creation.js","kind='duplex' n=50000000",4662846.982595634,10.723062581
"new","streams/creation.js","kind='readable' n=50000000",8915734.584166959,5.608062861
"new","streams/creation.js","kind='transform' n=50000000",3485897.686918716,14.343507610
"new","streams/creation.js","kind='writable' n=50000000",8084950.193851202,6.184329996
"old","streams/creation.js","kind='duplex' n=50000000",3788476.708520397,13.197916695
"old","streams/creation.js","kind='readable' n=50000000",8494143.968624214,5.886408352
"old","streams/creation.js","kind='transform' n=50000000",4500541.546563865,11.109774120
"old","streams/creation.js","kind='writable' n=50000000",8152820.659025923,6.132846789
"new","streams/creation.js","kind='duplex' n=50000000",4056482.5302510858,12.325949792
"new","streams/creation.js","kind='readable' n=50000000",8600431.775560834,5.813661605
"new","streams/creation.js","kind='transform' n=50000000",3497775.6935365666,14.294798861
"new","streams/creation.js","kind='writable' n=50000000",8163147.614191613,6.125088307
"old","streams/creation.js","kind='duplex' n=50000000",4086442.7875198815,12.235580577
"old","streams/creation.js","kind='readable' n=50000000",8646402.468455216,5.782751865
"old","streams/creation.js","kind='transform' n=50000000",4440322.291966202,11.260443885
"old","streams/creation.js","kind='writable' n=50000000",7977959.972896254,6.267266340
"new","streams/creation.js","kind='duplex' n=50000000",3970994.2833347097,12.591304956
"new","streams/creation.js","kind='readable' n=50000000",8746678.86701017,5.716455441
"new","streams/creation.js","kind='transform' n=50000000",3500634.276774038,14.283125870
"new","streams/creation.js","kind='writable' n=50000000",8438157.170536444,5.925464410
"old","streams/creation.js","kind='duplex' n=50000000",3526983.6412828737,14.176419594
"old","streams/creation.js","kind='readable' n=50000000",8676096.052728321,5.762960633
"old","streams/creation.js","kind='transform' n=50000000",3563593.8156998074,14.030779765
"old","streams/creation.js","kind='writable' n=50000000",8125413.385585942,6.153533073
"new","streams/creation.js","kind='duplex' n=50000000",4770992.244861172,10.480000267
"new","streams/creation.js","kind='readable' n=50000000",8597579.038085315,5.815590619
"new","streams/creation.js","kind='transform' n=50000000",3516926.4920342225,14.216959073
"new","streams/creation.js","kind='writable' n=50000000",8699087.218035622,5.747729474
"old","streams/creation.js","kind='duplex' n=50000000",4027932.606069446,12.413315934
"old","streams/creation.js","kind='readable' n=50000000",8558297.516374683,5.842283457
"old","streams/creation.js","kind='transform' n=50000000",3555395.2483776277,14.063134056
"old","streams/creation.js","kind='writable' n=50000000",8052430.069198901,6.209305709
"new","streams/creation.js","kind='duplex' n=50000000",4013721.076967779,12.457268216
"new","streams/creation.js","kind='readable' n=50000000",8603727.764867103,5.811434458
"new","streams/creation.js","kind='transform' n=50000000",4189897.0677238666,11.933467384
"new","streams/creation.js","kind='writable' n=50000000",8371982.729742907,5.972300901
"old","streams/creation.js","kind='duplex' n=50000000",3461473.0448368704,14.444717423
"old","streams/creation.js","kind='readable' n=50000000",8560931.313994097,5.840486060
"old","streams/creation.js","kind='transform' n=50000000",3478394.8989564762,14.374446103
"old","streams/creation.js","kind='writable' n=50000000",8083000.566788729,6.185821662
"new","streams/creation.js","kind='duplex' n=50000000",4084970.5962476614,12.239990184
"new","streams/creation.js","kind='readable' n=50000000",9323714.249534918,5.362669711
"new","streams/creation.js","kind='transform' n=50000000",3403481.85759177,14.690837822
"new","streams/creation.js","kind='writable' n=50000000",8622348.095444433,5.798884416
"old","streams/creation.js","kind='duplex' n=50000000",3394944.3545857184,14.727781895
"old","streams/creation.js","kind='readable' n=50000000",8608481.411100483,5.808225355
"old","streams/creation.js","kind='transform' n=50000000",3591714.584896455,13.920927963
"old","streams/creation.js","kind='writable' n=50000000",8137204.681239592,6.144616236
"new","streams/creation.js","kind='duplex' n=50000000",4001970.338080191,12.493845725
"new","streams/creation.js","kind='readable' n=50000000",8569003.9130125,5.834983915
