"binary","filename","configuration","rate","time"
"old","url/legacy-url-parse.js","e=1 type='long'",25073.26407763485,0.015953248
"old","url/legacy-url-parse.js","e=1 type='short'",86894.165730201,0.004603301
"old","url/legacy-url-parse.js","e=1 type='idn'",96396.48258874682,0.004149529
"old","url/legacy-url-parse.js","e=1 type='auth'",66173.56333058162,0.006044710
"old","url/legacy-url-parse.js","e=1 type='file'",84532.46152188018,0.004731910
"old","url/legacy-url-parse.js","e=1 type='ws'",51321.42402581673,0.007794016
"old","url/legacy-url-parse.js","e=1 type='javascript'",109856.60966024097,0.003641110
"old","url/legacy-url-parse.js","e=1 type='percent'",94048.80333478245,0.004253111
"old","url/legacy-url-parse.js","e=1 type='dot'",81424.52201261063,0.004912525
"old","url/legacy-url-parse.js","e=1 type='wpt'",87035.61062008521,0.005744775
"new","url/legacy-url-parse.js","e=1 type='long'",34268.57412403956,0.011672502
"new","url/legacy-url-parse.js","e=1 type='short'",128453.63658667859,0.003113964
"new","url/legacy-url-parse.js","e=1 type='idn'",150531.39463950176,0.002657253
"new","url/legacy-url-parse.js","e=1 type='auth'",83445.6372534703,0.004793540
"new","url/legacy-url-parse.js","e=1 type='file'",148007.70528113694,0.002702562
"new","url/legacy-url-parse.js","e=1 type='ws'",60756.174384194404,0.006583693
"new","url/legacy-url-parse.js","e=1 type='javascript'",167450.2641318604,0.002388769
"new","url/legacy-url-parse.js","e=1 type='percent'",155939.0356340189,0.002565105
"new","url/legacy-url-parse.js","e=1 type='dot'",119160.89282490558,0.003356806
"new","url/legacy-url-parse.js","e=1 type='wpt'",115016.2448944289,0.004347212
"old","url/legacy-url-parse.js","e=1 type='long'",32668.285979155513,0.012244291
"old","url/legacy-url-parse.js","e=1 type='short'",87800.76426175251,0.004555769
"old","url/legacy-url-parse.js","e=1 type='idn'",98135.90841957026,0.004075980
"old","url/legacy-url-parse.js","e=1 type='auth'",67215.46977479961,0.005951011
"old","url/legacy-url-parse.js","e=1 type='file'",81043.10581494415,0.004935645
"old","url/legacy-url-parse.js","e=1 type='ws'",52597.4805543827,0.007604927
"old","url/legacy-url-parse.js","e=1 type='javascript'",111891.05391862051,0.003574906
